timestamp,datetime,gpu_0_power,gpu_0_utilization,gpu_0_temperature,gpu_0_memory_used,gpu_0_memory_total,gpu_0_graphics_clock,gpu_0_memory_clock,gpu_1_power,gpu_1_utilization,gpu_1_temperature,gpu_1_memory_used,gpu_1_memory_total,gpu_1_graphics_clock,gpu_1_memory_clock,gpu_2_power,gpu_2_utilization,gpu_2_temperature,gpu_2_memory_used,gpu_2_memory_total,gpu_2_graphics_clock,gpu_2_memory_clock,gpu_3_power,gpu_3_utilization,gpu_3_temperature,gpu_3_memory_used,gpu_3_memory_total,gpu_3_graphics_clock,gpu_3_memory_clock
1759808230.0236876,2025-10-07 11:37:10.023,54.44,7,45,14994,16376,0,0,51.19,0,44,13562,16376,0,0,62.89,9,44,14556,16376,0,0,54.45,0,39,13562,16376,0,0
1759808230.2546108,2025-10-07 11:37:10.254,57.12,0,46,14994,16376,0,0,53.53,0,44,13562,16376,0,0,64.72,10,44,14556,16376,0,0,56.88,0,40,13562,16376,0,0
1759808230.4481807,2025-10-07 11:37:10.448,54.51,0,45,14994,16376,0,0,51.23,0,44,13562,16376,0,0,62.05,0,44,14556,16376,0,0,54.43,0,40,13562,16376,0,0
1759808230.6498604,2025-10-07 11:37:10.649,57.11,0,46,14994,16376,0,0,53.49,19,44,13562,16376,0,0,64.74,0,45,14556,16376,0,0,56.86,0,40,13562,16376,0,0
1759808230.8609998,2025-10-07 11:37:10.861,54.51,0,45,14994,16376,0,0,51.18,0,44,13562,16376,0,0,62.07,0,44,14556,16376,0,0,54.45,0,40,13562,16376,0,0
1759808231.0602853,2025-10-07 11:37:11.060,57.11,10,46,14994,16376,0,0,53.44,19,44,13562,16376,0,0,64.76,2,45,14556,16376,0,0,56.9,19,41,13562,16376,0,0
1759808231.2627814,2025-10-07 11:37:11.262,54.43,0,46,14994,16376,0,0,51.1,0,44,13562,16376,0,0,63.92,0,44,14556,16376,0,0,54.54,0,40,13562,16376,0,0
1759808231.440981,2025-10-07 11:37:11.440,57.09,18,45,14994,16376,0,0,51.1,2,45,13562,16376,0,0,62.12,0,46,14556,16376,0,0,57.0,19,39,13562,16376,0,0
1759808231.6463056,2025-10-07 11:37:11.646,54.48,0,46,14994,16376,0,0,53.41,0,44,13562,16376,0,0,64.81,0,44,14556,16376,0,0,54.56,0,40,13562,16376,0,0
1759808231.8369129,2025-10-07 11:37:11.836,56.81,18,45,14994,16376,0,0,51.13,0,44,13562,16376,0,0,62.11,0,44,14556,16376,0,0,54.53,0,40,13562,16376,0,0
1759808232.0514615,2025-10-07 11:37:12.051,56.24,0,46,14994,16376,0,0,53.44,0,44,13562,16376,0,0,64.78,0,44,14556,16376,0,0,56.94,0,40,13562,16376,0,0
1759808232.240525,2025-10-07 11:37:12.240,54.43,0,45,14994,16376,0,0,51.17,0,44,13562,16376,0,0,62.06,0,44,14556,16376,0,0,54.47,0,40,13562,16376,0,0
1759808232.461065,2025-10-07 11:37:12.461,56.92,0,46,14994,16376,0,0,53.51,0,44,13562,16376,0,0,64.71,0,45,14556,16376,0,0,56.83,0,40,13562,16376,0,0
1759808232.6901746,2025-10-07 11:37:12.690,54.4,0,45,14994,16376,0,0,51.22,0,44,13562,16376,0,0,62.02,0,44,14556,16376,0,0,54.37,0,40,13562,16376,0,0
1759808232.902136,2025-10-07 11:37:12.902,57.02,0,46,14994,16376,0,0,53.51,0,44,13562,16376,0,0,64.68,0,44,14556,16376,0,0,56.81,0,40,13562,16376,0,0
1759808233.099978,2025-10-07 11:37:13.099,54.41,0,45,14994,16376,0,0,51.21,0,44,13562,16376,0,0,62.01,0,44,14556,16376,0,0,54.37,0,40,13562,16376,0,0
1759808233.301648,2025-10-07 11:37:13.301,56.99,18,46,14994,16376,0,0,53.5,12,44,13562,16376,0,0,64.69,19,45,14556,16376,0,0,56.78,19,40,13562,16376,0,0
1759808233.5055516,2025-10-07 11:37:13.505,54.4,0,46,14994,16376,0,0,51.21,0,44,13562,16376,0,0,62.04,0,44,14556,16376,0,0,54.35,0,40,13562,16376,0,0
1759808233.728578,2025-10-07 11:37:13.728,56.9,18,46,14994,16376,0,0,53.49,17,44,13562,16376,0,0,64.7,19,45,14556,16376,0,0,54.34,1,40,13562,16376,0,0
1759808233.9046388,2025-10-07 11:37:13.904,54.45,0,46,14994,16376,0,0,51.23,0,44,13562,16376,0,0,62.05,0,44,14556,16376,0,0,55.74,0,40,13562,16376,0,0
1759808234.1032548,2025-10-07 11:37:14.103,54.44,0,47,14994,16376,0,0,53.52,17,44,13562,16376,0,0,62.05,0,45,14556,16376,0,0,54.37,0,40,13562,16376,0,0
1759808234.3034778,2025-10-07 11:37:14.303,57.07,0,46,14994,16376,0,0,53.35,0,44,13562,16376,0,0,64.73,0,44,14556,16376,0,0,56.82,0,40,13562,16376,0,0
1759808234.4955661,2025-10-07 11:37:14.495,54.47,0,45,14994,16376,0,0,51.24,0,44,13562,16376,0,0,62.06,0,44,14556,16376,0,0,54.4,0,40,13562,16376,0,0
1759808234.708165,2025-10-07 11:37:14.708,54.45,0,46,14994,16376,0,0,53.51,0,44,13562,16376,0,0,64.75,0,45,14556,16376,0,0,56.85,19,40,13562,16376,0,0
1759808234.9118524,2025-10-07 11:37:14.911,54.41,0,46,14994,16376,0,0,51.19,0,44,13562,16376,0,0,62.08,0,44,14556,16376,0,0,54.4,0,40,13562,16376,0,0
1759808235.1359005,2025-10-07 11:37:15.135,56.98,0,46,14994,16376,0,0,53.46,6,44,13562,16376,0,0,64.78,19,45,14556,16376,0,0,56.84,0,40,13562,16376,0,0
1759808235.341402,2025-10-07 11:37:15.341,54.31,0,46,14994,16376,0,0,51.14,0,44,13562,16376,0,0,62.13,0,44,14556,16376,0,0,54.38,0,40,13562,16376,0,0
1759808235.5422869,2025-10-07 11:37:15.542,56.86,0,46,14994,16376,0,0,53.42,17,44,13562,16376,0,0,64.82,19,45,14556,16376,0,0,56.8,17,40,13562,16376,0,0
1759808235.7484818,2025-10-07 11:37:15.748,54.22,0,46,14994,16376,0,0,51.16,0,44,13562,16376,0,0,62.15,0,44,14556,16376,0,0,54.34,0,40,13562,16376,0,0
1759808235.9561949,2025-10-07 11:37:15.956,56.81,20,46,14994,16376,0,0,51.16,0,45,13562,16376,0,0,62.14,0,44,14556,16376,0,0,56.75,17,40,13562,16376,0,0
1759808236.1389172,2025-10-07 11:37:16.138,54.25,0,46,14994,16376,0,0,52.42,0,44,13562,16376,0,0,64.83,0,44,14556,16376,0,0,54.34,0,40,13562,16376,0,0
1759808236.328855,2025-10-07 11:37:16.328,54.82,7,46,14994,16376,0,0,51.15,0,44,13562,16376,0,0,62.17,0,44,14556,16376,0,0,54.37,0,40,13562,16376,0,0
1759808236.5469778,2025-10-07 11:37:16.546,54.4,0,46,14994,16376,0,0,53.44,0,44,13562,16376,0,0,64.84,4,45,14556,16376,0,0,56.81,0,40,13562,16376,0,0
1759808236.7400594,2025-10-07 11:37:16.740,54.44,0,46,14994,16376,0,0,51.13,0,44,13562,16376,0,0,62.16,0,44,14556,16376,0,0,54.35,0,40,13562,16376,0,0
1759808236.9368966,2025-10-07 11:37:16.936,57.09,0,46,14994,16376,0,0,53.39,12,44,13562,16376,0,0,64.84,19,45,14556,16376,0,0,56.82,0,40,13562,16376,0,0
1759808237.138058,2025-10-07 11:37:17.138,54.53,0,46,14994,16376,0,0,51.12,0,44,13562,16376,0,0,62.13,0,44,14556,16376,0,0,54.39,0,40,13562,16376,0,0
1759808237.3262882,2025-10-07 11:37:17.326,57.13,20,47,14994,16376,0,0,53.41,17,44,13562,16376,0,0,62.1,0,46,14556,16376,0,0,56.81,0,40,13562,16376,0,0
1759808237.5296686,2025-10-07 11:37:17.529,54.55,0,46,14994,16376,0,0,51.13,0,44,13562,16376,0,0,63.15,0,44,14556,16376,0,0,54.36,0,40,13562,16376,0,0
1759808237.7354739,2025-10-07 11:37:17.735,57.17,20,46,14994,16376,0,0,51.15,0,45,13562,16376,0,0,62.11,0,44,14556,16376,0,0,56.55,17,40,13562,16376,0,0
1759808237.9374764,2025-10-07 11:37:17.937,54.61,0,46,14994,16376,0,0,53.24,0,44,13562,16376,0,0,64.8,0,45,14556,16376,0,0,54.38,0,40,13562,16376,0,0
1759808238.1428733,2025-10-07 11:37:18.142,55.41,10,46,14994,16376,0,0,51.18,0,44,13562,16376,0,0,64.07,17,44,14556,16376,0,0,54.38,0,40,13562,16376,0,0
1759808238.3628411,2025-10-07 11:37:18.362,57.17,0,46,14994,16376,0,0,51.16,0,44,13562,16376,0,0,64.78,0,45,14556,16376,0,0,56.8,0,40,13562,16376,0,0
1759808238.5695179,2025-10-07 11:37:18.569,54.49,0,46,14994,16376,0,0,51.19,0,44,13562,16376,0,0,62.11,0,44,14556,16376,0,0,54.4,0,40,13562,16376,0,0
1759808238.7754316,2025-10-07 11:37:18.775,57.08,0,46,14994,16376,0,0,53.49,0,44,13562,16376,0,0,64.78,0,45,14556,16376,0,0,56.86,0,40,13562,16376,0,0
